Title,"Release Date",Genres,Runtime,Director,Format,Distributor
"Independence Day: Resurgence",2016,"Action | Adventure | Science Fiction | Thriller",02:02,"Roland Emmerich","4K UHD",
"Iron Man",2008,"Action | Adventure | Fantasy | Science Fiction | Thriller",02:05,"Jon Favreau","4K UHD",
"Iron Man 2",2010,"Action | Adventure | Science Fiction",02:04,"Jon Favreau","4K UHD",
"Iron Man 3",2013,"Action | Adventure | Comic | Crime | Science Fiction",02:10,"Shane Black","4K UHD",
"Jack Ryan: Shadow Recruit",2014,"Action | Drama | Thriller | Western",01:45,"Kenneth Branagh","4K UHD",
"Jack Ryan: Shadow Recruit",2014,"Action | Drama | Thriller",01:45,"Kenneth Branagh","4K UHD",
"Jason Bourne",2016,"Action | Thriller",02:03,"Paul Greengrass","4K UHD",Universal
"John Wick",2014,"Action | Crime | Thriller",02:23,"Chad Stahelski","4K UHD","Lion's Gate Home Entertainment"
"John Wick: Chapter 3 - Parabellum",2019,"Action | Crime | Thriller",02:11,"Chad Stahelski","4K UHD","Lion's Gate Home Entertainment"
"John Wick: Chapter Two",2017,"Action | Crime | Thriller",02:02,"Chad Stahelski","4K UHD","Lion's Gate Home Entertainment"
"Jumanji: The Next Level",2019,"Action | Adventure | Comedy | Fantasy",02:03,"Jake Kasdan","4K UHD",
"Jumanji: Welcome to the Jungle",2017,"Action | Adventure | Comedy | Fantasy",01:59,"Jake Kasdan","4K UHD","Sony Pictures Home Entertainment"
"Jurassic World: Fallen Kingdom",2018,"Action | Adventure | Drama | Science Fiction | Thriller",02:04,"Juan Antonio Bayona","4K UHD",
Kin,"Aug 29, 2018","Action | Drama | Science Fiction",01:42,"Jonathan Baker | Josh Baker","4K UHD","Lions Gate"
"King Arthur: Legend of the Sword",2017,"Action | Adventure | Drama | Fantasy",02:06,"Guy Ritchie","4K UHD",
"Kingsman: The Golden Circle",2017,"Action | Adventure | Comedy",02:21,"Matthew Vaughn","4K UHD","20th Century Fox Home Entertainment"
"Kingsman: The Secret Service",2014,"Action | Adventure | Comedy | Crime | Thriller",02:09,"Matthew Vaughn","4K UHD",Fox
"Lost Highway",1997,"Mystery | Thriller",02:14,"David Lynch","4K UHD",
"Mad Max: Fury Road",2015,"Action | Adventure | Science Fiction | Thriller",02:00,"George Miller","4K UHD",
"Malcolm X",1992,"Biography | Drama | History",03:22,"Spike Lee","4K UHD",
"The Martian",2015,"Action | Adventure | Comedy | Drama | Science Fiction",02:21,"Ridley Scott","4K UHD","20th Century Fox Home Entertainment"
"The Matrix",1999,"Action | Science Fiction",02:18,"Lana Wachowski | Lilly Wachowski","4K UHD",
"The Matrix Reloaded",2003,"Action | Science Fiction",02:18,"Lana Wachowski | Lilly Wachowski","4K UHD",
"The Matrix Revolutions",2003,"Action | Science Fiction",02:09,"Lana Wachowski | Lilly Wachowski","4K UHD",
Mayhem,"Mar 13, 2017","Action | Comedy | Horror",01:26,"Joe Lynch","4K UHD","RLJ Entertainment"
"Men In Black",1997,"Action | Comedy | Science Fiction",01:38,"Barry Sonnenfeld","4K UHD",
"Men In Black",1997,"Action | Comedy | Science Fiction",01:38,"Barry Sonnenfeld","4K UHD",
"Men In Black II",2002,"Action | Comedy | Fantasy | Science Fiction",01:28,"Barry Sonnenfeld","4K UHD",
